message_number,date,city,visa_center,history,history_country,limit
2,28 янв 2021,Москва,ВЦ Визаметрик,Полугодовые,Германия в истории,Год и больше
3,09 мар 2021,Екатеринбург,ВЦ Визаметрик,Годовые и больше,Германия в истории,Год и больше
4,26 мар 2021,Москва,ВЦ Визаметрик,Годовые и больше,Другие страны,Год и больше
5,19 май 2021,Москва,Визаметрик,Полугодовые,Германия в истории,Год и больше
6,22 май 2021,Москва,Визаметрик,Нет,Нет,Меньше полугода
7,22 май 2021,Москва,Визаметрик,Меньше полугода,Германия в истории,Год и больше
8,10 июн 2021,Москва,ВЦ Визаметрик,Годовые и больше,Германия в истории,Год и больше
9,23 июн 2021,Калининград,Консульство Германии в Калининграде,Годовые и больше,Другие страны,Год и больше
10,11 авг 2021,Москва,ВЦ Визаметрик,Меньше полугода,Германия в истории,Год и больше
11,27 авг 2021,Москва,ВЦ на Киевской,Годовые и больше,Германия в истории,Год и больше
12,30 авг 2021,Москва,Визаметрик,Нет,Нет,Меньше полугода
13,03 сен 2021,Москва,ВЦ Визаметрик,Полугодовые,Германия в истории,Год и больше
14,19 сен 2021,Москва,Визаметрик,Годовые и больше,Германия в истории,Год и больше
16,18 окт 2021,Новосибирск,Визаметрик,Полугодовые,Другие страны,Даты поездки
17,15 ноя 2021,Москва,VisaMetric,Годовые и больше,Другие страны,Год и больше
18,24 ноя 2021,Москва,Визаметрик,Годовые и больше,Другие страны,Год и больше
19,24 ноя 2021,Москва,ВЦ,Годовые и больше,Другие страны,Год и больше
20,03 янв 2022,Москва,ВЦ Визаметрик,Годовые и больше,Германия в истории,Год и больше
21,24 янв 2022,Москва,ВЦ Визаметрик,Годовые и больше,Германия в истории,Год и больше
22,16 мар 2022,Москва,ВЦ Визаметрик,Годовые и больше,Германия в истории,Год и больше
23,24 мар 2022,Санкт-Петербург,ВЦ Визаметрик,Годовые и больше,Другие страны,Меньше полугода
24,27 мар 2022,Москва,ВЦ Визаметрик,Полугодовые,Другие страны,Отказ
25,30 мар 2022,Москва,ВЦ,Годовые и больше,Германия в истории,Год и больше
26,06 апр 2022,Москва,ВЦ,Годовые и больше,Германия в истории,Отказ
27,21 апр 2022,Стамбул,Вц,Полугодовые,Другие страны,Год и больше
28,26 апр 2022,Москва,ВЦ,Годовые и больше,Германия в истории,Год и больше
29,29 апр 2022,Москва,ВЦ Визаметрик,Годовые и больше,Германия в истории,Год и больше
30,11 май 2022,Москва,ВЦ Визаметрик,Годовые и больше,Другие страны,Год и больше
31,12 май 2022,Москва,Визаметрик,Полугодовые,Германия в истории,Год и больше
32,12 май 2022,Москва.,ВЦ.,Годовые и больше,Германия в истории,Год и больше
