message_number,date,city,visa_center,history,history_country,raw_history,limit,raw_limit
2,28 янв 2021,Москва,ВЦ Визаметрик,Полугодовые,Германия в истории,виза Германии на пол года,Год и больше,1 год
3,09 мар 2021,Екатеринбург,ВЦ Визаметрик,Годовые и больше,Германия в истории,Годовые чешская и две немецкие,Год и больше,3 года
4,26 мар 2021,Москва,ВЦ Визаметрик,Годовые и больше,Другие страны,"Испания, 1 год",Год и больше,3 года
5,19 май 2021,Москва,Визаметрик,Полугодовые,Германия в истории,"Чехия полгода, Германия год.",Год и больше,1 год
6,22 май 2021,Москва,Визаметрик,Нет,Нет,Не было виз,Меньше полугода,3 месяца
7,22 май 2021,Москва,Визаметрик,Меньше полугода,Германия в истории,"05(пт), готово было 18.05(вт))4. Германия 3 месяца",Год и больше,1 год
8,10 июн 2021,Москва,ВЦ Визаметрик,Годовые и больше,Германия в истории,"Германия на месяц, год.",Год и больше,Год
9,23 июн 2021,Калининград,Консульство Германии в Калининграде,Годовые и больше,Другие страны,Была польская двухгодичная и много польских до этого,Год и больше,2 года как и просила
10,11 авг 2021,Москва,ВЦ Визаметрик,Меньше полугода,Германия в истории,Германия 3 месяца,Год и больше,Год
11,27 авг 2021,Москва,ВЦ на Киевской,Годовые и больше,Германия в истории,"До этого была 3х летная, немецкая, гостевая.",Год и больше,Дали на 5 лет ( как и просил)
12,30 авг 2021,Москва,Визаметрик,Нет,Нет,Не было виз,Меньше полугода,3 месяца
13,03 сен 2021,Москва,ВЦ Визаметрик,Полугодовые,Германия в истории,"Виза Германия на 3 месяца в пандемию, неиспользованная",Год и больше,1 год (просила на 1 год)
14,19 сен 2021,Москва,Визаметрик,Годовые и больше,Германия в истории,"09.214. Германия, 2-х летняя, гостевая",Год и больше,5 лет
15,29 сен 2021,Москва,Визаметрик,,Другие страны,Польская рабочая,Год и больше,1 год
16,18 окт 2021,Новосибирск,Визаметрик,Полугодовые,Другие страны,"08.2021 запросили доп. документы*, оправила, 0",Даты поездки,На срок поездки
17,15 ноя 2021,Москва,VisaMetric,Годовые и больше,Другие страны,Испанская виза на 1 год,Год и больше,3 месяца (просила на 1 год)
18,24 ноя 2021,Москва,Визаметрик,Годовые и больше,Другие страны,"Франция, 5 лет",Год и больше,5 лет
19,24 ноя 2021,Москва,ВЦ,Годовые и больше,Другие страны,"Италия 2 года, 3 года",Год и больше,1 год ( просил 5 лет)
20,03 янв 2022,Москва,ВЦ Визаметрик,Годовые и больше,Германия в истории,"Германия, 1 год",Год и больше,2 года
21,24 янв 2022,Москва,ВЦ Визаметрик,Годовые и больше,Германия в истории,"Германия, 3 года",Год и больше,"5 лет, как и просила"
22,16 мар 2022,Москва,ВЦ Визаметрик,Годовые и больше,Германия в истории,Трехлетняя виза Германии,Год и больше,3 года
23,24 мар 2022,Санкт-Петербург,ВЦ Визаметрик,Годовые и больше,Другие страны,"Год финская, полгода итальянская в аннулированном паспорте",Меньше полугода,3 месяца в чистый паспорт
24,27 мар 2022,Москва,ВЦ Визаметрик,Полугодовые,Другие страны,Полгода итальянская в старом паспорте,Отказ,Отказ по пунктам 2;8
25,30 мар 2022,Москва,ВЦ,Годовые и больше,Германия в истории,"Виза С Германия полгода, .Виза С германия год, Виза С Латвия полгода",Год и больше,2 года
26,06 апр 2022,Москва,ВЦ,Годовые и больше,Германия в истории,"Я и муж - двухлетние немецкие, у ребенка годовая немецкая",Отказ,"Мне - 5 лет, мужу - 1 год, ребенку - отказ"
27,21 апр 2022,Стамбул,Вц,Полугодовые,Другие страны,"Шенген франции на 6 месяцев и туристическая виза в Болгарию. Но вообще подавала свой старый паспорт, в котором было порядка 5 шенгенов и 1 британская виза",Год и больше,1 год
28,26 апр 2022,Москва,ВЦ,Годовые и больше,Германия в истории,"Германия (под сроки), Греция (под сроки), годовые от Греции и Чехии, Греция (3 года), Греция (2 года, закончилась в сентябре 21 г.)",Год и больше,5 лет (новый паспорт)
29,29 апр 2022,Москва,ВЦ Визаметрик,Годовые и больше,Германия в истории,"Германия, 5 лет",Год и больше,5 лет
